"","Date","Q_m3_s"
"1",2015-05-02,1.96578565337725
"2",2015-05-03,1.90256847204187
"3",2015-05-04,1.77323146768647
"4",2015-05-05,1.70968657602606
"5",2015-05-06,1.5837266275681
"6",2015-05-07,1.60176276113332
"7",2015-05-08,1.62718422390393
"8",2015-05-09,1.55855297077186
"9",2015-05-10,1.50227656074157
"10",2015-05-11,1.51971053089311
"11",2015-05-12,1.62693682230275
"12",2015-05-13,1.47419365804528
"13",2015-05-14,1.73337709508467
"14",2015-05-15,1.32039428171723
"15",2015-05-16,0.969336408547083
"16",2015-05-17,1.156468363889
"17",2015-05-18,1.81642183274864
"18",2015-05-19,1.81480801842831
"19",2015-05-20,1.42290983880725
"20",2015-05-21,1.74967676488731
"21",2015-05-22,2.27777327515999
"22",2015-05-23,1.88419137033287
"23",2015-05-24,1.68204903914433
"24",2015-05-25,1.55147955879914
"25",2015-05-26,1.37492125746889
"26",2015-05-27,1.33646836826187
"27",2015-05-28,1.39076889826057
"28",2015-05-29,1.32817428883237
"29",2015-05-30,1.75283803761564
"30",2015-05-31,1.81450962734003
"31",2015-06-01,1.64204213034964
"32",2015-06-02,1.50393155500134
"33",2015-06-03,1.43538980307885
"34",2015-06-04,2.12312006119897
"35",2015-06-05,2.38455781447619
"36",2015-06-06,2.12646234897666
"37",2015-06-07,1.99933401454123
"38",2015-06-08,1.79020218008205
"39",2015-06-09,1.62216464612846
"40",2015-06-10,1.57805501995167
"41",2015-06-11,2.45045861452932
"42",2015-06-12,2.38495213370254
"43",2015-06-13,2.83054087859177
"44",2015-06-14,3.23185416616646
"45",2015-06-15,2.85062837102299
"46",2015-06-16,2.74501701265229
"47",2015-06-17,2.73761199473281
"48",2015-06-18,2.33143437797275
"49",2015-06-19,2.29386212988385
"50",2015-06-20,2.18772040325132
"51",2015-06-21,1.87850827152324
"52",2015-06-22,1.64862250297305
"53",2015-06-23,1.56079713283235
"54",2015-06-24,1.75387745913363
"55",2015-06-25,1.70768475449992
"56",2015-06-26,2.21919440636968
"57",2015-06-27,2.64560693450285
"58",2015-06-28,2.35407471710246
"59",2015-06-29,2.30347281788897
"60",2015-06-30,2.74333388134142
"61",2015-07-01,2.45457237614795
"62",2015-07-02,2.26517452872636
"63",2015-07-03,2.05158918135417
"64",2015-07-04,1.93675140072686
"65",2015-07-05,1.82356908320752
"66",2015-07-06,2.00674989497617
"67",2015-07-07,1.93117251966016
"68",2015-07-08,1.66351589721716
"69",2015-07-09,1.79688773160635
"70",2015-07-10,2.67143076873118
"71",2015-07-11,2.12835166727705
"72",2015-07-12,2.36117763077124
"73",2015-07-13,2.12675974977899
"74",2015-07-14,2.00706268533074
"75",2015-07-15,2.03630498144664
"76",2015-07-16,1.96303673612591
"77",2015-07-17,1.76252240508844
"78",2015-07-18,1.62083572906123
"79",2015-07-19,1.829020571539
"80",2015-07-20,1.77711345948171
"81",2015-07-21,1.38030059919912
"82",2015-07-22,1.27165283585136
"83",2015-07-23,1.28620739390312
"84",2015-07-24,0.993571255339582
"85",2015-07-25,1.04188632910889
"86",2015-07-26,1.13562691658517
"87",2015-07-27,1.14585491658779
"88",2015-07-28,1.31776786428391
"89",2015-07-29,1.36404393408652
"90",2015-07-30,1.41614082587049
"91",2015-07-31,1.54094244515468
"92",2015-08-01,1.5586850737991
"93",2015-08-02,1.43127432804071
"94",2015-08-03,1.41186166160389
"95",2015-08-04,1.47241176412668
"96",2015-08-05,1.56799304030495
"97",2015-08-06,1.56152945110023
"98",2015-08-07,1.51028585221955
"99",2015-08-08,1.27350987396741
"100",2015-08-09,1.54273846153205
"101",2015-08-10,1.25229262652957
"102",2015-08-11,1.2155848134545
"103",2015-08-12,1.8153738514542
"104",2015-08-13,2.23789483912414
"105",2015-08-14,1.61930210622651
"106",2015-08-15,1.38478738160409
"107",2015-08-16,1.43497775013954
"108",2015-08-17,1.97397893235088
"109",2015-08-18,2.02167881769842
"110",2015-08-19,2.14131501393876
"111",2015-08-20,1.62387159773746
"112",2015-08-21,1.50881412798405
"113",2015-08-22,1.83027375945015
"114",2015-08-23,1.7435807332748
"115",2015-08-24,1.47442072334029
"116",2015-08-25,1.95282307287843
"117",2015-08-26,2.18591787745193
"118",2015-08-27,1.82675440078595
"119",2015-08-28,1.78909443524645
"120",2015-08-29,1.93668781552798
"121",2015-08-30,2.16522624369804
"122",2015-08-31,2.39780054524021
"123",2015-09-01,2.54956348978891
"124",2015-09-02,3.10354948120493
"125",2015-09-03,3.4880246276213
"126",2015-09-04,2.83192176224998
"127",2015-09-05,2.51941211663697
"128",2015-09-06,2.32214512512955
"129",2015-09-07,2.15918172691971
"130",2015-09-08,2.05441618563772
"131",2015-09-09,2.26399282892393
"132",2015-09-10,2.32050017096694
"133",2015-09-11,2.15101739622346
"134",2015-09-12,2.45419636592129
"135",2015-09-13,2.63084339742701
"136",2015-09-14,3.43681962928965
"137",2015-09-15,3.59621805743561
"138",2015-09-16,3.51496016004529
"139",2015-09-17,4.35531193770626
"140",2015-09-18,4.08746623288141
"141",2015-09-19,3.80653413887163
"142",2015-09-20,3.67015104751708
"143",2015-09-21,3.45966113281723
"144",2015-09-22,3.291981498822
"145",2015-09-23,3.08434779280433
"146",2015-09-24,3.26916207452261
"147",2015-09-25,3.0906918017186
"148",2015-09-26,3.05853568197953
"149",2015-09-27,3.00446911976455
"150",2015-09-28,2.86491683869902
"151",2015-09-29,2.69322947170691
"152",2015-09-30,2.55952893145782
"153",2015-10-01,2.44017311135957
"154",2015-10-02,2.3345462000315
