"","Date","Q_m3_s"
"158",2016-02-21,0.960408750361375
"159",2016-02-22,0.932681464996156
"160",2016-02-23,0.891128777749607
"161",2016-02-24,0.969111258673783
"162",2016-02-25,1.0605188005201
"163",2016-02-26,1.01128847091884
"164",2016-02-27,1.17109453498901
"165",2016-02-28,1.05829359257396
"166",2016-02-29,0.933214479796619
"167",2016-03-01,0.879960687144773
"168",2016-03-02,0.849908095715817
"169",2016-03-03,0.832431777921303
"170",2016-03-04,1.29331978624579
"171",2016-03-05,1.38891352741574
"172",2016-03-06,1.39967548923779
"173",2016-03-07,1.35176796645139
"174",2016-03-08,1.27285849779597
"175",2016-03-09,1.25165222736575
"176",2016-03-10,1.4350482602242
"177",2016-03-11,1.47997103574352
"178",2016-03-12,1.31771903595668
"179",2016-03-13,1.20744284577487
"180",2016-03-14,1.12607214961014
"181",2016-03-15,1.08549380527133
"182",2016-03-16,1.07233079983051
"183",2016-03-17,1.04655744541694
"184",2016-03-18,0.990974736686862
"185",2016-03-19,1.02226385995967
"186",2016-03-20,1.56896100946267
"187",2016-03-21,1.48516765847072
"188",2016-03-22,1.4719387833299
"189",2016-03-23,1.18550533441277
"190",2016-03-24,1.06826682927232
"191",2016-03-25,1.02283153891649
"192",2016-03-26,0.993009837899538
"193",2016-03-27,0.867336053671389
"194",2016-03-28,1.29362333538437
"195",2016-03-29,1.66782307285024
"196",2016-03-30,1.23561869366202
"197",2016-03-31,1.08191245160983
"198",2016-04-01,0.930718064679073
"199",2016-04-02,0.9496283772742
"200",2016-04-03,1.33529301959553
"201",2016-04-04,1.22405458426563
"202",2016-04-05,1.019419435473
"203",2016-04-06,0.933486926957495
"204",2016-04-07,0.853944361621122
"205",2016-04-08,0.835777471016169
"206",2016-04-09,0.856468836523707
"207",2016-04-10,0.796524751025428
"208",2016-04-11,0.762764985041816
"209",2016-04-12,0.794300782538367
"210",2016-04-13,0.748801845716738
"211",2016-04-14,0.882214407416853
"212",2016-04-15,1.03296979102269
"213",2016-04-16,0.802443374633531
"214",2016-04-17,0.713986269339557
"215",2016-04-18,1.39938545296925
"216",2016-04-19,1.95229703804826
"217",2016-04-20,1.51463088239894
"218",2016-04-21,1.71619725617938
"219",2016-04-22,1.88823625179681
"220",2016-04-23,1.51790637777353
"221",2016-04-24,1.47547175378775
"222",2016-04-25,1.38114579029263
"223",2016-04-26,1.55300369083745
"224",2016-04-27,1.46983805982121
"225",2016-04-28,1.25675886323334
"226",2016-04-29,1.16986909762678
"227",2016-04-30,1.1110967079594
"228",2016-05-01,1.0366444594533
"229",2016-05-02,1.01883925085567
"230",2016-05-03,1.10011133668015
"231",2016-05-04,1.25982330191235
"232",2016-05-05,1.30089564189274
"233",2016-05-06,1.31977821762541
"234",2016-05-07,1.1429135604326
"235",2016-05-08,1.02869903992906
"236",2016-05-09,0.956565222441171
"237",2016-05-10,1.02585609160584
"238",2016-05-11,0.947876409000171
"239",2016-05-12,0.915343622385257
"240",2016-05-13,0.99108562967296
"241",2016-05-14,1.31709527655895
"242",2016-05-15,1.88423654283578
"243",2016-05-16,1.26120470885726
"244",2016-05-17,1.08999229558206
"245",2016-05-18,1.5929440592411
"246",2016-05-19,1.66475262748151
"247",2016-05-20,1.38364333482713
"248",2016-05-21,1.29969189747015
"249",2016-05-22,1.22158799675346
"250",2016-05-23,1.14088471355172
"251",2016-05-24,1.06867637361569
"252",2016-05-25,1.01309248006791
"253",2016-05-26,0.974402811254008
"254",2016-05-27,1.13161299368254
"255",2016-05-28,1.92623250583853
"256",2016-05-29,1.58883960131393
"257",2016-05-30,1.54975967833757
"258",2016-05-31,1.45696693175072
"259",2016-06-01,1.59531373492697
"260",2016-06-02,1.56928056642938
"261",2016-06-03,1.14512764300991
"262",2016-06-04,1.26471242108216
"263",2016-06-05,1.16105105473973
"264",2016-06-06,1.15815232469589
"265",2016-06-07,1.89539765013619
"266",2016-06-08,1.99685496140799
"267",2016-06-09,1.65592031517047
"268",2016-06-10,1.69625385536764
"269",2016-06-11,2.01088844917204
"270",2016-06-12,1.9165390882272
"271",2016-06-13,1.60712192969791
"272",2016-06-14,1.63386613866793
"273",2016-06-15,1.42779608891333
"274",2016-06-16,1.28480945991676
"275",2016-06-17,1.71103855737847
"276",2016-06-18,2.31759828737647
"277",2016-06-19,2.09062995733725
"278",2016-06-20,2.08727640922256
"279",2016-06-21,3.33464896636405
"280",2016-06-22,2.63494510065379
"281",2016-06-23,2.34196135153398
"282",2016-06-24,2.51255410427033
"283",2016-06-25,2.53302413958594
"284",2016-06-26,3.26345150545918
"285",2016-06-27,2.78840372879671
"286",2016-06-28,2.47113070678612
"287",2016-06-29,2.37993196149218
"288",2016-06-30,2.17868994461247
"289",2016-07-01,2.10213959243342
"290",2016-07-02,2.15219305817077
"291",2016-07-03,1.94944609451601
"292",2016-07-04,1.92855961930584
"293",2016-07-05,2.28259514948606
"294",2016-07-06,1.90337085661316
"295",2016-07-07,1.77205943035026
"296",2016-07-08,1.69001761495387
"297",2016-07-09,1.63529801156469
"298",2016-07-10,1.59857804274427
"299",2016-07-11,1.76954575282846
"300",2016-07-12,1.71053936640084
"301",2016-07-13,1.5711617414774
"302",2016-07-14,2.00790197451246
"303",2016-07-15,1.69617191661981
"304",2016-07-16,1.55765115473639
"305",2016-07-17,1.48735823415085
"306",2016-07-18,1.42711848804169
"307",2016-07-19,2.2181882739271
"308",2016-07-20,2.28701032951055
"309",2016-07-21,2.33536488433676
"310",2016-07-22,2.14826960748179
"311",2016-07-23,2.12027062157852
"312",2016-07-24,1.96156945883751
"313",2016-07-25,1.84728034988303
"314",2016-07-26,1.76500573713422
"315",2016-07-27,1.73211027124512
"316",2016-07-28,1.71977525251922
"317",2016-07-29,1.70559915205422
"318",2016-07-30,1.81324461992584
"319",2016-07-31,1.69817850718195
"320",2016-08-01,1.76966807007399
"321",2016-08-02,1.91718241002605
"322",2016-08-03,1.76543569947632
"323",2016-08-04,1.7806940788996
"324",2016-08-05,1.71086638790806
"325",2016-08-06,4.1105402084428
"326",2016-08-07,4.14522826202937
"327",2016-08-08,4.00488528372504
"328",2016-08-09,3.81266157594198
"329",2016-08-10,3.56625021970418
"330",2016-08-11,3.40138136808817
